start_trans_hub,end_trans_hub,zb_num,big_num
南京,常州,198,2483
南京,淮安,43,466
无锡,连云港,39,271
苏州,徐州,158,1142
连云港,苏州,86,593
徐州,盐城,64,1039
常州,南通,83,765
南通,苏州,134,3043
南通,盐城,40,768
杭州,温州,542,1186
嘉兴,宁波,184,521
台州,宁波,274,950
长沙,长沙,491,8231
武汉,襄阳,95,1718
汕头,中山,73,594
石家庄,西安,338,4000
石家庄,太原,226,2659
石家庄,南京,106,1260
石家庄,阿克苏,27,289
天津,信阳,24,731
廊坊,侯马,23,175
廊坊,南昌,26,234
廊坊,厦门,18,154
廊坊,郑州,44,392
廊坊,南充,13,117
保定,合肥,46,385
保定,济南,193,1647
保定,信阳,77,606
保定,常州,25,174
保定,襄阳,18,129
北京,西安,78,1728
沈阳,合肥,54,387
沈阳,蚌埠,36,245
长春,信阳,12,200
长春,贵阳,20,381
哈尔滨,长春,80,2789
南京,哈尔滨,152,1812
南京,锦州,38,422
南京,洛阳,63,692
南京,汕头,75,838
扬州,郑州,80,858
扬州,漯河,34,342
常州,厦门,112,1112
无锡,福州,75,551
无锡,银川,34,245
无锡,石家庄,87,671
无锡,金华,49,372
无锡,长沙,91,685
无锡,汕头,36,268
无锡,南宁,53,408
无锡,海口,35,265
无锡,成都,140,1052
苏州,广州,292,2333
苏州,济南,197,1546
苏州,青岛,100,814
徐州,北京,244,4978
徐州,湛江,68,1134
徐州,贵阳,215,3675
徐州,海口,112,2105
连云港,南昌,51,335
连云港,银川,23,154
连云港,昆明,35,243
淮安,石家庄,22,185
淮安,漯河,12,109
淮安,金华,20,201
徐州,侯马,80,1388
徐州,芜湖,66,1118
盐城,合肥,55,311
盐城,厦门,36,184
盐城,郑州,109,587
扬州,北京,50,542
扬州,洛阳,25,259
扬州,汕头,26,258
扬州,南充,24,228
常州,哈尔滨,200,2018
常州,芜湖,55,516
常州,襄阳,44,406
常州,南充,69,637
常州,兰州,91,888
南通,太原,36,781
南通,青岛,50,1085
南通,宁波,56,1292
南通,武汉,92,2065
南通,南宁,52,1172
南通,西安,80,1777
合肥,北京,261,2750
合肥,芜湖,120,1205
合肥,福州,226,2412
安庆,侯马,63,565
安庆,宁波,78,808
安庆,南昌,128,1233
安庆,汕头,87,861
安庆,南宁,138,1378
安庆,兰州,72,686
蚌埠,沈阳,219,2340
蚌埠,漯河,96,979
蚌埠,西安,245,2553
济南,郑州,298,3472
济南,乌鲁木齐,91,1071
潍坊,郑州,35,511
临沂,信阳,25,260
杭州,天津,434,1029
杭州,衡阳,176,404
杭州,广州,1133,2680
杭州,南宁,429,1023
杭州,柳州,165,374
杭州,银川,163,382
湖州,石家庄,182,489
湖州,常州,64,172
湖州,济南,275,731
湖州,青岛,94,250
嘉兴,石家庄,109,330
嘉兴,沈阳,147,441
嘉兴,汕头,74,217
嘉兴,成都,194,571
嘉兴,海口,47,145
嘉兴,兰州,79,236
嘉兴,大理州,26,77
宁波,石家庄,175,1419
宁波,南昌,185,1441
宁波,福州,190,1510
宁波,襄阳,46,353
宁波,昆明,146,1169
宁波,大理州,34,263
台州,锦州,52,179
台州,徐州,198,717
台州,合肥,274,1006
台州,信阳,180,647
台州,汕头,185,666
台州,成都,417,1478
台州,银川,79,287
金华,长春,388,2860
金华,洛阳,223,1656
金华,广州,1166,8965
金华,柳州,183,1326
金华,西安,662,5023
金华,兰州,252,1908
金华,鹰潭,83,593
温州,侯马,85,324
温州,合肥,184,773
温州,洛阳,88,338
温州,广州,542,2237
温州,柳州,78,302
南昌,天津,145,1738
南昌,西安,232,2648
鹰潭,郑州,32,308
福州,济南,121,1370
福州,湛江,39,446
泉州,哈尔滨,47,1496
泉州,呼和浩特,29,842
泉州,石家庄,45,1249
泉州,南京,38,1139
泉州,济南,76,2267
泉州,武汉,71,2291
泉州,信阳,30,771
泉州,南充,22,622
厦门,汕头,43,1336
重庆,广州,121,4622
重庆,呼和浩特,61,2236
重庆,侯马,19,638
重庆,徐州,23,769
重庆,南昌,47,1647
重庆,襄阳,12,439
重庆,昆明,95,3773
重庆,西安,76,2841
长沙,侯马,78,1108
长沙,天津,168,2558
长沙,长春,113,1798
长沙,常州,77,1079
长沙,青岛,117,1733
长沙,襄阳,53,768
常德,杭州,19,349
衡阳,石家庄,32,814
武汉,呼和浩特,108,2189
武汉,北京,270,6020
武汉,杭州,162,3577
荆州,常州,11,102
武汉,阿克苏,30,512
郑州,合肥,165,2955
郑州,杭州,184,3413
郑州,广州,520,9500
郑州,西安,379,6948
郑州,洛阳,133,2174
洛阳,天津,105,1244
洛阳,哈尔滨,128,1394
洛阳,合肥,67,685
洛阳,南京,57,598
洛阳,芜湖,25,248
信阳,信阳,19,246
郑州,襄阳,58,1026
汕头,锦州,12,82
汕头,济南,63,487
汕头,南充,29,221
汕头,昆明,57,419
湛江,武汉,23,597
湛江,湛江,6,135
中山,汕头,81,996
成都,乌鲁木齐,44,1891
成都,南宁,67,1513
昆明,中山,25,496
石家庄,唐山,91,1017
石家庄,泉州,68,793
石家庄,扬州,28,321
石家庄,包头,36,388
石家庄,宝鸡,25,280
天津,泉州,10,290
唐山,廊坊,9,95
唐山,沈阳,19,256
唐山,哈尔滨,16,199
唐山,郑州,14,170
唐山,信阳,6,75
唐山,呼和浩特,6,81
唐山,锦州,5,53
唐山,临沂,5,44
唐山,南昌,6,74
北京,长春,62,1348
北京,武汉,57,1271
北京,昆明,43,955
廊坊,呼和浩特,24,214
廊坊,大连,16,159
廊坊,嘉兴,8,68
廊坊,宝鸡,5,37
保定,上海,82,725
保定,重庆,56,489
保定,蚌埠,29,249
保定,安庆,15,121
保定,济宁,36,298
保定,台州,15,121
保定,义乌,7,49
北京,呼和浩特,30,652
北京,蚌埠,15,309
北京,芜湖,10,219
北京,南宁,33,765
北京,保定,17,379
北京,大连,17,391
沈阳,唐山,70,568
沈阳,杭州,77,593
沈阳,苏州,79,596
沈阳,淮安,12,76
沈阳,芜湖,21,137
沈阳,泉州,26,212
长春,廊坊,8,220
长春,常州,7,172
长春,蚌埠,7,167
长春,泉州,6,154
长春,重庆,11,292
长春,洛阳,7,156
哈尔滨,呼和浩特,22,681
哈尔滨,廊坊,15,389
哈尔滨,合肥,14,369
哈尔滨,杭州,27,869
哈尔滨,嘉兴,10,256
哈尔滨,厦门,15,369
哈尔滨,郑州,30,899
哈尔滨,信阳,12,300
哈尔滨,贵阳,15,460
哈尔滨,成都,33,1021
哈尔滨,兰州,13,380
南京,泉州,61,770
南京,衡阳,55,664
南京,东莞,83,1024
南京,银川,56,668
南京,西宁,18,208
南京,阿克苏,19,186
南京,深圳,132,1679
扬州,赣州,14,133
扬州,海口,31,354
淮安,上海,92,1043
