收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
北京,北京,,,,,,,,,,,
北京,天津,0.0,0.0,0.0,2.0,2.0,0.0,4.0,464.0,116.0,3396.0159999999996,小
北京,石家庄,0.0,0.0,0.0,2.0,1.0,0.0,3.0,948.0,316.0,7243.351999999999,小
北京,唐山,2.0,0.0,0.0,3.0,0.0,0.0,5.0,985.0,197.0,9791.688,大
北京,廊坊,0.0,0.0,0.0,2.0,1.0,0.0,3.0,141.0,47.0,1077.3339999999998,小
北京,保定,0.0,0.0,0.0,3.0,0.0,0.0,3.0,510.0,170.0,4224.84,小
北京,太原,0.0,0.0,0.0,3.0,1.0,0.0,4.0,2100.0,525.0,19352.55,小
北京,侯马,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2463.0,821.0,30263.701999999997,大
北京,呼和浩特,1.0,1.0,0.0,3.0,2.0,0.0,7.0,3549.0,507.0,35910.303,大
北京,包头,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2732.0,683.0,33135.062,大
北京,沈阳,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2070.0,690.0,18253.26,小
北京,大连,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1672.0,836.0,20268.82,大
北京,锦州,1.0,0.0,0.0,0.0,1.0,0.0,2.0,940.0,470.0,10488.05,大
北京,长春,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2943.0,981.0,30458.088,大
北京,哈尔滨,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3723.0,1241.0,36105.653999999995,大
北京,上海,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1214.0,1214.0,9430.352,小
北京,南京,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2020.0,1010.0,19589.96,大
北京,常州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1094.0,1094.0,10609.612000000001,小
北京,无锡,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2230.0,1115.0,21653.3,大
北京,苏州,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4628.0,1157.0,51548.977999999996,大
北京,徐州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,694.0,694.0,6730.412,小
北京,连云港,0.0,0.0,0.0,0.0,1.0,0.0,1.0,736.0,736.0,5717.2480000000005,大
北京,淮安,,,,,,,,,,,
北京,盐城,0.0,0.0,0.0,1.0,0.0,0.0,1.0,935.0,935.0,9067.63,大
北京,扬州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1010.0,1010.0,7845.679999999999,大
北京,南通,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1091.0,1091.0,10580.517999999998,大
北京,杭州,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2582.0,1291.0,21631.996,大
北京,湖州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1208.0,1208.0,9383.743999999999,大
北京,嘉兴,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2508.0,1254.0,22126.83,大
北京,宁波,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2804.0,1402.0,27226.839999999997,大
北京,台州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1536.0,1536.0,14896.128,大
北京,金华,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1457.0,1457.0,14129.985999999999,小
北京,义乌,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1413.0,1413.0,9972.954,小
北京,温州,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3164.0,1582.0,35302.33,大
北京,合肥,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1015.0,1015.0,9843.47,小
北京,蚌埠,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1766.0,883.0,16207.465,大
北京,芜湖,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1098.0,1098.0,10648.403999999999,大
北京,安庆,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1185.0,1185.0,9205.08,大
北京,福州,1.0,1.0,0.0,0.0,1.0,1.0,4.0,7488.0,1872.0,76798.8,大
北京,厦门,0.0,1.0,0.0,0.0,1.0,1.0,3.0,6042.0,2014.0,53326.691999999995,大
北京,泉州,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3992.0,1996.0,31009.855999999996,小
北京,南昌,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4275.0,1425.0,42868.274999999994,大
北京,鹰潭,,,,,,,,,,,
北京,赣州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1822.0,1822.0,17669.756,大
北京,济南,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1640.0,410.0,14031.019999999997,小
北京,潍坊,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2024.0,506.0,17675.592,小
北京,烟台,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3580.0,716.0,34718.84,小
北京,青岛,0.0,0.0,0.0,6.0,0.0,0.0,6.0,4026.0,671.0,39044.148,小
北京,济宁,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1716.0,572.0,15537.807999999999,小
北京,临沂,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1944.0,648.0,19674.575999999997,大
北京,郑州,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2103.0,701.0,19041.964,小
北京,漯河,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2427.0,809.0,27479.302999999993,大
北京,信阳,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2946.0,982.0,36198.484,大
北京,洛阳,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1610.0,805.0,15613.779999999999,小
北京,武汉,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1153.0,1153.0,8956.503999999999,小
北京,荆州,,,,,,,,,,,
北京,襄阳,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1059.0,1059.0,10270.182,大
北京,长沙,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2998.0,1499.0,29074.604,大
北京,常德,,,,,,,,,,,
北京,衡阳,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3312.0,1656.0,32159.52,大
北京,广州,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4258.0,2129.0,33076.144,小
北京,汕头,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4300.0,2150.0,52126.75,大
北京,深圳,2.0,1.0,0.0,0.0,0.0,1.0,4.0,8804.0,2201.0,105216.60399999999,大
北京,东莞,0.0,1.0,1.0,1.0,0.0,0.0,3.0,6507.0,2169.0,69271.353,大
北京,湛江,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4938.0,2469.0,46194.99,大
北京,中山,0.0,1.0,1.0,1.0,0.0,0.0,3.0,6627.0,2209.0,70548.833,大
北京,南宁,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7029.0,2343.0,75006.459,大
北京,柳州,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4246.0,2123.0,37460.33500000001,大
北京,海口,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5280.0,2640.0,58911.6,大
北京,重庆,0.0,0.0,0.0,2.0,1.0,0.0,3.0,5484.0,1828.0,49655.791999999994,小
北京,成都,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5757.0,1919.0,48424.045999999995,小
北京,南充,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3504.0,1752.0,39095.88,大
北京,内江,,,,,,,,,,,
北京,贵阳,0.0,2.0,0.0,0.0,1.0,0.0,3.0,6237.0,2079.0,64598.688,大
北京,昆明,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7800.0,2600.0,83233.8,大
北京,大理州,,,,,,,,,,,
北京,拉萨,,,,,,,,,,,
北京,西安,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2204.0,1102.0,21374.392,小
北京,宝鸡,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1266.0,1266.0,9834.288,小
北京,兰州,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4461.0,1487.0,50508.929000000004,大
北京,西宁,,,,,,,,,,,
