收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
北京,北京,,,,,,,,,,,
北京,天津,1.0,0.0,0.0,1.0,2.0,0.0,4.0,464.0,116.0,3396.016,小
北京,石家庄,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1264.0,316.0,10470.975999999999,小
北京,唐山,4.0,0.0,0.0,1.0,0.0,0.0,5.0,985.0,197.0,8159.74,大
北京,廊坊,2.0,0.0,0.0,0.0,1.0,0.0,3.0,141.0,47.0,1077.3339999999998,小
北京,保定,1.0,1.0,1.0,1.0,0.0,0.0,4.0,680.0,170.0,4856.22,小
北京,太原,1.0,0.0,0.0,2.0,1.0,0.0,4.0,2100.0,525.0,19352.55,小
北京,侯马,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2463.0,821.0,22301.644,大
北京,呼和浩特,3.0,2.0,0.0,1.0,1.0,0.0,7.0,3549.0,507.0,31482.672,大
北京,包头,1.0,2.0,0.0,1.0,0.0,0.0,4.0,2732.0,683.0,23858.555999999997,大
北京,沈阳,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2070.0,690.0,17411.46,小
北京,大连,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2508.0,836.0,18295.024,
北京,锦州,1.0,1.0,0.0,0.0,0.0,0.0,2.0,940.0,470.0,8209.02,大
北京,长春,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2943.0,981.0,26647.884,大
北京,哈尔滨,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3723.0,1241.0,36105.653999999995,小
北京,上海,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1214.0,1214.0,9430.352,小
北京,南京,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3030.0,1010.0,23537.039999999997,大
北京,常州,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2188.0,1094.0,18331.064,大
北京,无锡,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2230.0,1115.0,17322.64,大
北京,苏州,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4628.0,1157.0,37361.844,大
北京,徐州,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1388.0,694.0,10289.243999999999,小
北京,连云港,0.0,1.0,0.0,0.0,0.0,0.0,1.0,736.0,736.0,5717.2480000000005,大
北京,淮安,,,,,,,,,,,
北京,盐城,1.0,0.0,0.0,0.0,0.0,0.0,1.0,935.0,935.0,9067.63,大
北京,扬州,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1010.0,1010.0,7845.679999999999,大
北京,南通,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2182.0,1091.0,15400.556,大
北京,杭州,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2582.0,1291.0,25040.235999999997,大
北京,湖州,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1208.0,1208.0,9383.743999999999,大
北京,嘉兴,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2508.0,1254.0,17701.464,大
北京,宁波,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2804.0,1402.0,21781.471999999998,大
北京,台州,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1536.0,1536.0,14896.128,大
北京,金华,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2914.0,1457.0,22635.952,小
北京,义乌,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1413.0,1413.0,9972.954,小
北京,温州,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3164.0,1582.0,27631.212,大
北京,合肥,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2030.0,1015.0,17007.34,大
北京,蚌埠,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1766.0,883.0,15422.478,大
北京,芜湖,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1098.0,1098.0,10648.403999999999,大
北京,安庆,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1185.0,1185.0,11492.13,大
北京,福州,1.0,2.0,0.0,0.0,0.0,1.0,4.0,7488.0,1872.0,60450.623999999996,大
北京,厦门,0.0,2.0,0.0,0.0,0.0,1.0,3.0,6042.0,2014.0,45504.316000000006,大
北京,泉州,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3992.0,1996.0,31009.855999999996,小
北京,南昌,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4275.0,1425.0,35958.450000000004,大
北京,鹰潭,,,,,,,,,,,
北京,赣州,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1822.0,1822.0,17669.756,大
北京,济南,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1640.0,410.0,14322.119999999999,小
北京,潍坊,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2024.0,506.0,16339.752,小
北京,烟台,4.0,0.0,0.0,1.0,0.0,0.0,5.0,3580.0,716.0,34718.84,小
北京,青岛,4.0,0.0,0.0,0.0,1.0,0.0,5.0,3355.0,671.0,31241.760000000002,小
北京,济宁,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1716.0,572.0,15537.807999999999,小
北京,临沂,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1944.0,648.0,14640.911999999998,大
北京,郑州,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2103.0,701.0,20394.893999999997,小
北京,漯河,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2427.0,809.0,20414.305999999997,大
北京,信阳,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2946.0,982.0,26675.048,大
北京,洛阳,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1610.0,805.0,14060.130000000001,大
北京,武汉,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1153.0,1153.0,11181.793999999998,小
北京,荆州,,,,,,,,,,,
北京,襄阳,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1059.0,1059.0,10270.182,大
北京,长沙,0.0,2.0,0.0,1.0,0.0,0.0,3.0,4497.0,1499.0,37825.766,大
北京,常德,,,,,,,,,,,
北京,衡阳,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3312.0,1656.0,25727.616,大
北京,广州,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4258.0,2129.0,33076.144,小
北京,汕头,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4300.0,2150.0,41701.399999999994,大
北京,深圳,2.0,1.0,1.0,0.0,0.0,0.0,4.0,8804.0,2201.0,75322.62199999999,大
北京,东莞,1.0,1.0,1.0,0.0,0.0,0.0,3.0,6507.0,2169.0,53192.556000000004,大
北京,湛江,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4938.0,2469.0,36605.394,大
北京,中山,1.0,1.0,1.0,0.0,0.0,0.0,3.0,6627.0,2209.0,54173.51600000001,大
北京,南宁,2.0,1.0,0.0,0.0,0.0,0.0,3.0,7029.0,2343.0,63645.25199999999,大
北京,柳州,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4246.0,2123.0,29968.268000000004,
北京,海口,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7920.0,2640.0,55899.36,
北京,重庆,2.0,1.0,0.0,0.0,0.0,0.0,3.0,5484.0,1828.0,49655.791999999994,小
