收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
北京,北京,,,,,,,,,,,
北京,天津,0.0,0.0,0.0,0.0,2.0,0.0,2.0,232.0,116.0,1474.128,小
北京,石家庄,0.0,0.0,0.0,0.0,1.0,0.0,1.0,316.0,316.0,2007.864,小
北京,唐山,0.0,0.0,0.0,0.0,1.0,0.0,1.0,197.0,197.0,1251.7379999999998,小
北京,廊坊,0.0,0.0,0.0,0.0,1.0,0.0,1.0,47.0,47.0,298.63800000000003,小
北京,保定,0.0,0.0,0.0,0.0,1.0,0.0,1.0,170.0,170.0,1080.18,小
北京,太原,0.0,0.0,0.0,0.0,1.0,0.0,1.0,525.0,525.0,4078.2,小
北京,侯马,1.0,0.0,0.0,0.0,0.0,0.0,1.0,821.0,821.0,11943.087,
北京,呼和浩特,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1014.0,507.0,9833.771999999999,大
北京,包头,,,,,,,,,,,
北京,沈阳,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1380.0,690.0,12051.539999999999,小
北京,大连,3.0,1.0,0.0,0.0,2.0,0.0,6.0,5016.0,836.0,59213.04400000001,大
北京,锦州,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1880.0,470.0,20976.1,大
北京,长春,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1962.0,981.0,17134.146,小
北京,哈尔滨,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2482.0,1241.0,24070.435999999998,小
北京,上海,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1214.0,1214.0,11773.372,小
北京,南京,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2020.0,1010.0,15691.359999999999,小
北京,常州,,,,,,,,,,,
北京,无锡,,,,,,,,,,,
北京,苏州,,,,,,,,,,,
北京,徐州,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1388.0,694.0,13460.824,小
北京,连云港,,,,,,,,,,,
北京,淮安,,,,,,,,,,,
北京,盐城,,,,,,,,,,,
北京,扬州,,,,,,,,,,,
北京,南通,,,,,,,,,,,
北京,杭州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1291.0,1291.0,12520.117999999999,小
北京,湖州,,,,,,,,,,,
北京,嘉兴,,,,,,,,,,,
北京,宁波,,,,,,,,,,,
北京,台州,,,,,,,,,,,
北京,金华,,,,,,,,,,,
北京,义乌,,,,,,,,,,,
北京,温州,,,,,,,,,,,
北京,合肥,,,,,,,,,,,
北京,蚌埠,,,,,,,,,,,
北京,芜湖,,,,,,,,,,,
北京,安庆,,,,,,,,,,,
北京,福州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1872.0,1872.0,14541.696,小
北京,厦门,,,,,,,,,,,
北京,泉州,,,,,,,,,,,
北京,南昌,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1425.0,1425.0,11069.4,小
北京,鹰潭,,,,,,,,,,,
北京,赣州,,,,,,,,,,,
北京,济南,0.0,0.0,0.0,1.0,1.0,0.0,2.0,820.0,410.0,7161.0599999999995,小
北京,潍坊,,,,,,,,,,,
北京,烟台,,,,,,,,,,,
北京,青岛,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2013.0,671.0,18227.043999999998,小
北京,济宁,,,,,,,,,,,
北京,临沂,,,,,,,,,,,
北京,郑州,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1402.0,701.0,10890.735999999999,小
北京,漯河,,,,,,,,,,,
北京,信阳,,,,,,,,,,,
北京,洛阳,,,,,,,,,,,
北京,武汉,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2306.0,1153.0,17913.007999999998,小
北京,荆州,,,,,,,,,,,
北京,襄阳,,,,,,,,,,,
北京,长沙,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2998.0,1499.0,29074.604,小
北京,常德,,,,,,,,,,,
北京,衡阳,,,,,,,,,,,
北京,广州,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4258.0,2129.0,33076.144,小
北京,汕头,,,,,,,,,,,
北京,深圳,,,,,,,,,,,
北京,东莞,,,,,,,,,,,
北京,湛江,,,,,,,,,,,
北京,中山,,,,,,,,,,,
北京,南宁,,,,,,,,,,,
北京,柳州,,,,,,,,,,,
北京,海口,,,,,,,,,,,
北京,重庆,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1828.0,1828.0,17727.944,小
北京,成都,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1919.0,1919.0,18610.462,小
北京,南充,,,,,,,,,,,
北京,内江,,,,,,,,,,,
北京,贵阳,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2079.0,2079.0,20162.142,小
北京,昆明,,,,,,,,,,,
北京,大理州,,,,,,,,,,,
北京,拉萨,,,,,,,,,,,
北京,西安,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2204.0,1102.0,18465.112,小
北京,宝鸡,,,,,,,,,,,
北京,兰州,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2974.0,1487.0,27293.885000000002,大
北京,西宁,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1669.0,1669.0,17669.703,
北京,银川,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2260.0,1130.0,25130.07,
北京,乌鲁木齐,,,,,,,,,,,
北京,阿克苏,,,,,,,,,,,
北京,喀什,,,,,,,,,,,
天津,北京,1.0,0.0,0.0,0.0,2.0,0.0,3.0,336.0,112.0,2815.008,大
天津,天津,,,,,,,,,,,
天津,石家庄,0.0,0.0,0.0,1.0,1.0,0.0,2.0,646.0,323.0,4728.074,大
天津,唐山,6.0,0.0,0.0,2.0,0.0,0.0,8.0,992.0,124.0,11299.376,大
天津,廊坊,0.0,0.0,0.0,1.0,0.0,0.0,1.0,83.0,83.0,687.5719999999999,小
天津,保定,,,,,,,,,,,
天津,太原,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1070.0,535.0,7931.91,大
天津,侯马,,,,,,,,,,,
天津,呼和浩特,1.0,0.0,0.0,0.0,0.0,0.0,1.0,614.0,614.0,8931.858,
天津,包头,,,,,,,,,,,
天津,沈阳,0.0,2.0,0.0,1.0,1.0,0.0,4.0,2680.0,670.0,27315.9,大
天津,大连,,,,,,,,,,,
天津,锦州,,,,,,,,,,,
天津,长春,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2883.0,961.0,27959.334,小
天津,哈尔滨,8.0,0.0,0.0,2.0,0.0,0.0,10.0,12210.0,1221.0,165777.612,大
天津,上海,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3324.0,1108.0,38593.85599999999,大
天津,南京,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2811.0,937.0,26285.661,大
天津,常州,,,,,,,,,,,
天津,无锡,,,,,,,,,,,
天津,苏州,,,,,,,,,,,
天津,徐州,,,,,,,,,,,
天津,连云港,,,,,,,,,,,
天津,淮安,,,,,,,,,,,
天津,盐城,,,,,,,,,,,
天津,扬州,,,,,,,,,,,
天津,南通,,,,,,,,,,,
天津,杭州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1230.0,1230.0,9554.64,小
天津,湖州,,,,,,,,,,,
天津,嘉兴,,,,,,,,,,,
天津,宁波,,,,,,,,,,,
天津,台州,,,,,,,,,,,
天津,金华,,,,,,,,,,,
天津,义乌,,,,,,,,,,,
天津,温州,,,,,,,,,,,
天津,合肥,,,,,,,,,,,
天津,蚌埠,,,,,,,,,,,
天津,芜湖,,,,,,,,,,,
天津,安庆,,,,,,,,,,,
天津,福州,,,,,,,,,,,
天津,厦门,,,,,,,,,,,
天津,泉州,,,,,,,,,,,
天津,南昌,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2672.0,1336.0,19807.536,小
天津,鹰潭,,,,,,,,,,,
天津,赣州,,,,,,,,,,,
天津,济南,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1690.0,338.0,13107.640000000001,小
天津,潍坊,,,,,,,,,,,
天津,烟台,,,,,,,,,,,
天津,青岛,,,,,,,,,,,
天津,济宁,,,,,,,,,,,
天津,临沂,,,,,,,,,,,
