0,1,2,3
南京-常州,8678.200400000002,6882.5694,route_1
苏州-徐州,4550.579600000001,14185.487200000001,route_1
南通-苏州,9727.608400000001,3266.954,route_1
杭州-温州,7883.3668,7443.9534,route_1
长沙-长沙,27386.1578,27386.1578,route_1
石家庄-西安,14139.19,5150.9894,route_1
石家庄-太原,9410.0092,2845.9736000000003,route_1
北京-西安,5539.856400000001,18352.3568,route_1
哈尔滨-长春,8557.923200000001,9146.120200000001,route_1
苏州-广州,9039.2504,4529.588,route_1
徐州-北京,16120.386400000001,1549.989,route_1
徐州-贵阳,12192.165,409.3876,route_1
徐州-海口,6890.384000000001,115.5866,route_1
常州-哈尔滨,7379.518400000001,855.5496,route_1
南通-武汉,6610.1320000000005,3094.1890000000003,route_1
合肥-北京,9959.855000000001,2033.0568000000003,route_1
合肥-福州,8711.295600000001,3029.3274,route_1
蚌埠-沈阳,8449.137,993.836,route_1
蚌埠-西安,9268.9014,2302.844,route_1
济南-郑州,12311.383600000001,23854.618000000002,route_1
杭州-天津,6536.9052,2440.9296,route_1
杭州-广州,17047.399,5874.852200000001,route_1
杭州-南宁,6478.1574,4105.0524000000005,route_1
台州-成都,7665.001400000001,1440.3228000000001,route_1
金华-长春,11332.108,482.93640000000005,route_1
金华-洛阳,6547.6578,1516.507,route_1
金华-广州,35102.122,2415.7406,route_1
金华-西安,19740.0724,4052.1630000000005,route_1
金华-兰州,7502.8104,203.41080000000002,route_1
温州-广州,10856.4356,2937.3604,route_1
南昌-西安,9429.0224,9426.2334,route_1
泉州-济南,7047.8696,2444.817,route_1
泉州-武汉,7073.9858,5596.038200000001,route_1
重庆-广州,14085.6686,6559.3598,route_1
重庆-呼和浩特,6834.8518,553.525,route_1
重庆-南昌,5051.718600000001,6634.9416,route_1
重庆-昆明,11466.787400000001,2648.4211999999998,route_1
重庆-西安,8671.6008,9946.601200000001,route_1
长沙-天津,8639.7104,2876.1706000000004,route_1
长沙-常州,3695.6102,7275.3784000000005,route_1
武汉-呼和浩特,7094.583200000001,779.5662000000001,route_1
武汉-北京,19285.226,4071.6398000000004,route_1
武汉-杭州,11472.127600000002,9925.914,route_1
郑州-合肥,9737.679000000002,12816.494200000001,route_1
郑州-杭州,11192.0144,10770.4186,route_1
郑州-广州,31218.200000000004,7170.450000000001,route_1
郑州-西安,22821.047400000003,7826.840800000001,route_1
郑州-洛阳,7261.0262,5512.108800000001,route_1
成都-南宁,4839.7594,8843.230400000002,route_1
北京-武汉,4071.6398000000004,19285.226,route_1
徐州-深圳,11365.8852,1619.9974000000002,route_1
济南-太原,8444.7934,3250.2292,route_1
济南-长春,8199.476200000001,3197.077,route_1
济南-上海,14167.4086,9093.9646,route_1
济南-杭州,6451.4018,12079.642200000002,route_1
济南-南昌,5398.756,9535.334200000001,route_1
济南-重庆,6584.0926,6385.3354,route_1
杭州-上海,19936.754,8597.804,route_1
杭州-深圳,6613.4142,2642.0594,route_1
金华-深圳,12804.536800000002,1125.8078,route_1
金华-东莞,10703.45,1119.5552,route_1
南昌-深圳,8641.7508,2094.3854,route_1
广州-上海,9347.5822,14960.4544,route_1
广州-郑州,7170.450000000001,31218.200000000004,route_1
中山-武汉,3601.9970000000003,9019.2258,route_1
成都-哈尔滨,6556.9104,3163.9198000000006,route_1
西安-天津,8350.6944,5001.063000000001,route_1
西安-汕头,6688.674000000001,2377.1266000000005,route_1
西安-深圳,14810.4984,2720.4774,route_1
南宁-重庆,5617.6720000000005,7826.709400000001,route_1
西安-乌鲁木齐,8170.5784,1777.7384000000002,route_1
义乌-温州,12270.8754,992.1278,route_1
上海-合肥,4827.8566,19089.875,route_1
上海-济南,9093.9646,14167.4086,route_1
上海-杭州,8597.804,19936.754,route_1
上海-武汉,9847.2832,23067.733200000002,route_1
义乌-蚌埠,10755.682400000002,594.643,route_1
南京-南通,5560.786,8126.306800000001,route_1
苏州-南京,7723.5882,15504.186400000002,route_1
徐州-常州,7118.202800000001,5969.4546,route_1
徐州-无锡,6593.622800000001,3305.9002,route_1
杭州-台州,4749.1508,7774.4048,route_1
泉州-福州,13646.7484,3671.9286,route_1
郑州-漯河,9378.885000000002,6052.3948,route_1
广州-广州,33958.764,33958.764,route_1
石家庄-长春,8566.826000000001,2439.7470000000003,route_1
石家庄-哈尔滨,11163.872599999999,3123.9224000000004,route_1
石家庄-济南,13910.8456,10198.919600000001,route_1
天津-哈尔滨,6851.0362000000005,5853.126800000001,route_1
南京-沈阳,8129.676,1996.6840000000002,route_1
南京-天津,6867.366800000001,2486.1904,route_1
苏州-郑州,4853.129800000001,9145.733400000001,route_1
徐州-天津,12392.6776,1873.1292000000003,route_1
徐州-哈尔滨,10669.606200000002,1183.4276000000002,route_1
徐州-沈阳,13792.083200000001,1714.8552,route_1
常州-西安,8921.090400000001,3695.9970000000003,route_1
南通-广州,13680.9642,1488.219,route_1
合肥-太原,8220.5298,1130.6002,route_1
合肥-济南,14095.513400000002,5435.9246,route_1
合肥-郑州,12816.494200000001,9737.679000000002,route_1
安庆-济南,6792.9676,1621.304,route_1
安庆-成都,7570.3,1084.4196,route_1
蚌埠-武汉,7763.841,4624.6392000000005,route_1
济南-青岛,11957.783599999999,4256.8332,route_1
杭州-沈阳,8058.2268,2320.8134,route_1
杭州-徐州,5263.2734,11088.2686,route_1
杭州-武汉,9925.914,11472.127600000002,route_1
杭州-西安,9772.5638,11586.1226,route_1
台州-济南,8609.0396,1807.3478,route_1
