0,1,2,3
南京-常州,8678.200400000002,6882.5694,route_1
南京-淮安,1677.4858000000002,3151.5608,
无锡-连云港,1092.4498,1162.7756000000002,
苏州-徐州,4550.579600000001,14185.487200000001,route_1
连云港-苏州,2396.0084,1435.8552,
徐州-盐城,3473.8432000000003,1642.5584000000003,
常州-南通,2857.4970000000003,4960.7408000000005,
南通-苏州,9727.608400000001,3266.954,route_1
南通-盐城,2506.7183999999997,1085.8724000000002,
杭州-温州,7883.3668,7443.9534,route_1
嘉兴-宁波,3011.1248000000005,2917.7596000000003,
台州-宁波,4976.63,3027.9514,
长沙-长沙,27386.1578,27386.1578,route_1
汕头-中山,2290.2222,3494.2398000000003,
石家庄-太原,9410.0092,2845.9736000000003,route_1
石家庄-南京,4449.918000000001,6356.011,
石家庄-阿克苏,1043.1082000000001,53.61580000000001,
天津-信阳,2268.3728,2361.5298000000003,
廊坊-侯马,687.205,172.4254,
廊坊-南昌,879.1692,1091.3292000000001,
廊坊-厦门,586.0252,505.5668,
廊坊-郑州,1476.5095999999999,2853.4782,
廊坊-南充,439.5846,101.57400000000001,
保定-合肥,1473.4180000000001,3025.1846,
保定-济南,6271.548600000001,3383.3910000000005,
保定-信阳,2357.5878000000002,854.7612,
保定-常州,701.0862,2221.2104000000004,
保定-襄阳,515.3052,428.92640000000006,
长春-信阳,666.02,1991.4826000000003,
长春-贵阳,1244.8728,601.4832000000001,
哈尔滨-长春,8557.923200000001,9146.120200000001,route_1
南京-哈尔滨,6395.7456,1641.0362,
南京-锦州,1511.2436,127.03320000000002,
南京-洛阳,2483.8946,2167.8574000000003,
南京-汕头,2997.1594,580.2362,
扬州-郑州,3095.5104,1961.8112,
扬州-漯河,1251.5196,457.34580000000005,
常州-厦门,4081.3856000000005,1991.4132000000002,
无锡-福州,2185.2938000000004,1542.886,
无锡-银川,977.126,70.4572,
无锡-石家庄,2625.0098,2552.0486,
无锡-金华,1461.7086000000002,7528.7952000000005,
无锡-长沙,2698.0330000000004,3247.5392,
无锡-汕头,1058.8984,335.0504,
无锡-南宁,1596.9654,1405.1252000000002,
无锡-海口,1042.057,90.25880000000001,
苏州-济南,6019.259800000001,5682.0302,
苏州-青岛,3138.1432,1348.6186,
徐州-湛江,3775.9992,527.9344,
徐州-贵阳,12192.165,409.3876,route_1
徐州-海口,6890.384000000001,115.5866,route_1
连云港-南昌,1373.7530000000002,1088.5004000000001,
连云港-银川,627.8002000000001,30.985400000000002,
连云港-昆明,979.8234,180.649,
淮安-石家庄,707.1380000000001,778.2522,
淮安-漯河,408.5992,335.9702,
淮安-金华,735.6888,2185.5566000000003,
徐州-侯马,4594.7744,299.7214,
徐州-芜湖,3714.0284,1387.1706,
盐城-合肥,1339.2818000000002,1945.0392000000002,
盐城-厦门,821.2792000000002,1019.62,
盐城-郑州,2571.2006,2557.1112,
扬州-洛阳,941.5342,589.1168,
扬州-汕头,947.0604000000001,160.4532,
扬州-南充,845.4864,93.08760000000001,
常州-哈尔滨,7379.518400000001,855.5496,route_1
常州-芜湖,1919.1858000000002,922.1268,
常州-襄阳,1516.1127999999999,756.4102,
常州-南充,2378.4406000000004,242.4884,
常州-兰州,3272.2794000000004,254.1978,
南通-太原,2510.0728000000004,293.9324,
南通-青岛,3486.998,496.4234,
南通-宁波,4122.6896,1816.9548,
南通-南宁,3749.8136000000004,1062.9718,
合肥-芜湖,4411.304,3751.0036000000005,
合肥-福州,8711.295600000001,3029.3274,route_1
安庆-侯马,2124.637,195.0558,
安庆-宁波,2937.3604,1388.554,
安庆-南昌,4557.3504,1861.3578000000002,
安庆-汕头,3162.4818000000005,352.02320000000003,
安庆-南宁,5051.0764,955.6088,
安庆-兰州,2542.1168000000002,81.9038,
蚌埠-漯河,3571.4752000000003,1285.0016,
济南-郑州,12311.383600000001,23854.618000000002,route_1
济南-乌鲁木齐,3789.9498000000003,644.4408,
潍坊-郑州,1737.9418,5235.3352,
临沂-信阳,944.363,679.9012,
杭州-天津,6536.9052,2440.9296,route_1
杭州-衡阳,2613.3152,2717.2322000000004,
杭州-南宁,6478.1574,4105.0524000000005,route_1
杭州-柳州,2436.5462,553.7878000000001,
杭州-银川,2442.4666,265.25020000000006,
湖州-石家庄,2903.8932000000004,1032.0558,
湖州-常州,1021.2736,1110.6052000000002,
湖州-济南,4365.477800000001,1071.5276000000001,
湖州-青岛,1492.5700000000002,267.9476,
嘉兴-石家庄,1844.199,1861.4892000000002,
嘉兴-汕头,1232.1196,295.71000000000004,
嘉兴-海口,802.8610000000001,76.1148,
嘉兴-兰州,1327.6418,163.8076,
嘉兴-大理州,435.04760000000005,152.4924,
宁波-石家庄,5476.1922,3443.3214000000003,
宁波-南昌,5621.9758,4338.8684,
宁波-福州,5858.938,2558.626,
宁波-襄阳,1382.8964,968.3074000000001,
宁波-昆明,4526.6972000000005,1095.3406,
宁波-大理州,1028.0444,251.36900000000003,
台州-锦州,940.8152,53.61580000000001,
台州-徐州,3682.5396,3121.6886000000004,
台州-合肥,5135.0428,2328.7048,
台州-信阳,3334.1336,502.21240000000006,
台州-汕头,3429.6558000000005,343.5368,
台州-银川,1471.9106000000002,76.1148,
金华-长春,11332.108,482.93640000000005,route_1
金华-洛阳,6547.6578,1516.507,route_1
金华-柳州,5279.9538,240.18520000000004,
金华-兰州,7502.8104,203.41080000000002,route_1
金华-鹰潭,2370.9434,326.82680000000005,
温州-侯马,1626.7062,291.235,
温州-合肥,3723.9824000000003,3769.3598,
温州-洛阳,1691.3744000000002,1584.661,
温州-柳州,1505.9876000000002,273.99940000000004,
南昌-天津,6127.929400000001,2121.8008,
鹰潭-郑州,1138.6304,2088.5816000000004,
福州-济南,4886.411,5514.474,
福州-湛江,1587.4898,1457.1642000000002,
泉州-哈尔滨,4624.569800000001,799.4992000000001,
泉州-呼和浩特,2624.1446,163.8076,
泉州-石家庄,3909.1462,2811.3784,
泉州-南京,3539.4932,2687.831,
泉州-济南,7047.8696,2444.817,route_1
泉州-信阳,2431.6548000000003,716.5442,
泉州-南充,1943.3236000000002,282.0916,
厦门-汕头,4138.5418,1414.1446,
重庆-呼和浩特,6834.8518,553.525,route_1
重庆-侯马,1963.5194000000001,638.9146000000001,
