收寄城市,寄达城市,运量（重量）
北京,北京,0.0
北京,天津,148745.54280000002
北京,石家庄,143174.53720000002
北京,唐山,84695.61640000001
北京,廊坊,57824.0772
北京,保定,101781.511
北京,太原,148053.389
北京,侯马,0.0
北京,呼和浩特,145485.3892
北京,包头,51410.6102
北京,沈阳,91118.572
北京,大连,0.0
北京,锦州,0.0
北京,长春,0.0
北京,哈尔滨,5226.385200000001
北京,上海,256358.2304
北京,南京,0.0
北京,常州,0.0
北京,无锡,0.0
北京,苏州,0.0
北京,徐州,0.0
北京,连云港,0.0
北京,淮安,0.0
北京,盐城,0.0
北京,扬州,0.0
北京,南通,0.0
北京,杭州,0.0
北京,湖州,0.0
北京,嘉兴,0.0
北京,宁波,0.0
北京,台州,0.0
北京,金华,0.0
北京,义乌,0.0
北京,温州,0.0
北京,合肥,0.0
北京,蚌埠,0.0
北京,芜湖,0.0
北京,安庆,0.0
北京,福州,0.0
北京,厦门,0.0
北京,泉州,0.0
北京,南昌,0.0
北京,鹰潭,0.0
北京,赣州,0.0
北京,济南,130716.99800000002
北京,潍坊,95071.962
北京,烟台,89812.01800000001
北京,青岛,158251.62200000003
北京,济宁,84998.2434
北京,临沂,0.0
北京,郑州,4681.6094
北京,漯河,0.0
北京,信阳,0.0
北京,洛阳,0.0
北京,武汉,160561.0786
北京,荆州,0.0
北京,襄阳,0.0
北京,长沙,3910.5296000000003
北京,常德,0.0
北京,衡阳,0.0
北京,广州,197884.26020000002
北京,汕头,0.0
北京,深圳,0.0
北京,东莞,0.0
北京,湛江,0.0
北京,中山,0.0
北京,南宁,0.0
北京,柳州,0.0
北京,海口,0.0
北京,重庆,0.0
北京,成都,108165.71380000001
北京,南充,0.0
北京,内江,0.0
北京,贵阳,0.0
北京,昆明,0.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,148096.95460000003
北京,宝鸡,0.0
北京,兰州,0.0
北京,西宁,0.0
北京,银川,0.0
北京,乌鲁木齐,0.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,142027.9628
天津,天津,0.0
天津,石家庄,5321.838000000001
天津,唐山,0.0
天津,廊坊,0.0
天津,保定,0.0
天津,太原,0.0
天津,侯马,0.0
天津,呼和浩特,0.0
天津,包头,0.0
天津,沈阳,8959.4814
天津,大连,0.0
天津,锦州,0.0
天津,长春,0.0
天津,哈尔滨,6851.0362000000005
天津,上海,0.0
天津,南京,0.0
天津,常州,0.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,0.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,0.0
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,0.0
天津,义乌,0.0
天津,温州,0.0
天津,合肥,0.0
天津,蚌埠,0.0
天津,芜湖,0.0
天津,安庆,0.0
天津,福州,0.0
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,0.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,11117.067400000002
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,5224.2754
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,3715.5358000000006
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,0.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,0.0
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,0.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,5001.063000000001
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
