收寄城市,寄达城市,大件运量
北京,北京,0.0
北京,天津,7904.0
北京,石家庄,6255.0
北京,唐山,11515.0
北京,廊坊,6108.0
北京,保定,5032.0
北京,太原,8897.0
北京,侯马,6415.0
北京,呼和浩特,15005.0
北京,包头,8025.0
北京,沈阳,5710.0
北京,大连,4198.0
北京,锦州,3659.0
北京,长春,6681.0
北京,哈尔滨,6988.0
北京,上海,1657.0
北京,南京,4258.0
北京,常州,1597.0
北京,无锡,3473.0
北京,苏州,7091.0
北京,徐州,1778.0
北京,连云港,1488.0
北京,淮安,0.0
北京,盐城,1987.0
北京,扬州,1505.0
北京,南通,1990.0
北京,杭州,3700.0
北京,湖州,1333.0
北京,嘉兴,2442.0
北京,宁波,3534.0
北京,台州,1795.0
北京,金华,1137.0
北京,义乌,249.0
北京,温州,3739.0
北京,合肥,2253.0
北京,蚌埠,2623.0
北京,芜湖,2285.0
北京,安庆,1682.0
北京,福州,7076.0
北京,厦门,4650.0
北京,泉州,2512.0
北京,南昌,5604.0
北京,鹰潭,0.0
北京,赣州,1926.0
北京,济南,7553.0
北京,潍坊,7245.0
北京,烟台,11534.0
北京,青岛,14322.0
北京,济宁,6327.0
北京,临沂,4677.0
北京,郑州,4954.0
北京,漯河,5577.0
北京,信阳,6031.0
北京,洛阳,3704.0
北京,武汉,1747.0
北京,荆州,0.0
北京,襄阳,2208.0
北京,长沙,4453.0
北京,常德,0.0
北京,衡阳,3074.0
北京,广州,3156.0
北京,汕头,4183.0
北京,深圳,7777.0
北京,东莞,5324.0
北京,湛江,2698.0
北京,中山,5316.0
北京,南宁,6200.0
北京,柳州,2437.0
北京,海口,3885.0
北京,重庆,6021.0
北京,成都,6001.0
北京,南充,3650.0
北京,内江,0.0
北京,贵阳,5226.0
北京,昆明,6144.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,4318.0
北京,宝鸡,1208.0
北京,兰州,5859.0
北京,西宁,0.0
北京,银川,4556.0
北京,乌鲁木齐,5738.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,34837.0
天津,天津,0.0
天津,石家庄,1710.0
天津,唐山,0.0
天津,廊坊,0.0
天津,保定,0.0
天津,太原,0.0
天津,侯马,0.0
天津,呼和浩特,0.0
天津,包头,0.0
天津,沈阳,2928.0
天津,大连,0.0
天津,锦州,0.0
天津,长春,0.0
天津,哈尔滨,2224.0
天津,上海,1825.0
天津,南京,808.0
天津,常州,440.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,609.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,792.0
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,290.0
天津,义乌,98.0
天津,温州,0.0
天津,合肥,685.0
天津,蚌埠,442.0
天津,芜湖,0.0
天津,安庆,0.0
天津,福州,0.0
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,0.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,3673.0
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,1708.0
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,1576.0
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,937.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,1898.0
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,1764.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,2106.0
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
天津,阿克苏,0.0
天津,喀什,0.0
石家庄,北京,57452.0
石家庄,天津,3310.0
石家庄,石家庄,0.0
石家庄,唐山,0.0
石家庄,廊坊,0.0
石家庄,保定,0.0
石家庄,太原,2659.0
石家庄,侯马,0.0
石家庄,呼和浩特,0.0
石家庄,包头,0.0
石家庄,沈阳,3517.0
