收寄城市,寄达城市,集包件运量
北京,北京,0.0
北京,天津,498.0
北京,石家庄,474.0
北京,唐山,763.0
北京,廊坊,427.0
北京,保定,352.0
北京,太原,528.0
北京,侯马,453.0
北京,呼和浩特,810.0
北京,包头,455.0
北京,沈阳,299.0
北京,大连,282.0
北京,锦州,262.0
北京,长春,361.0
北京,哈尔滨,424.0
北京,上海,70.0
北京,南京,291.0
北京,常州,112.0
北京,无锡,240.0
北京,苏州,472.0
北京,徐州,125.0
北京,连云港,108.0
北京,淮安,0.0
北京,盐城,137.0
北京,扬州,107.0
北京,南通,133.0
北京,杭州,218.0
北京,湖州,98.0
北京,嘉兴,169.0
北京,宁波,225.0
北京,台州,119.0
北京,金华,80.0
北京,义乌,19.0
北京,温州,265.0
北京,合肥,152.0
北京,蚌埠,191.0
北京,芜湖,172.0
北京,安庆,113.0
北京,福州,511.0
北京,厦门,345.0
北京,泉州,167.0
北京,南昌,372.0
北京,鹰潭,0.0
北京,赣州,141.0
北京,济南,522.0
北京,潍坊,453.0
北京,烟台,724.0
北京,青岛,701.0
北京,济宁,431.0
北京,临沂,337.0
北京,郑州,359.0
北京,漯河,438.0
北京,信阳,468.0
北京,洛阳,251.0
北京,武汉,78.0
北京,荆州,0.0
北京,襄阳,171.0
北京,长沙,309.0
北京,常德,0.0
北京,衡阳,224.0
北京,广州,188.0
北京,汕头,322.0
北京,深圳,508.0
北京,东莞,374.0
北京,湛江,211.0
北京,中山,393.0
北京,南宁,440.0
北京,柳州,181.0
北京,海口,287.0
北京,重庆,380.0
北京,成都,343.0
北京,南充,285.0
北京,内江,0.0
北京,贵阳,334.0
北京,昆明,436.0
北京,大理州,0.0
北京,拉萨,0.0
北京,西安,225.0
北京,宝鸡,88.0
北京,兰州,380.0
北京,西宁,0.0
北京,银川,334.0
北京,乌鲁木齐,411.0
北京,阿克苏,0.0
北京,喀什,0.0
天津,北京,999.0
天津,天津,0.0
天津,石家庄,58.0
天津,唐山,0.0
天津,廊坊,0.0
天津,保定,0.0
天津,太原,0.0
天津,侯马,0.0
天津,呼和浩特,0.0
天津,包头,0.0
天津,沈阳,81.0
天津,大连,0.0
天津,锦州,0.0
天津,长春,0.0
天津,哈尔滨,67.0
天津,上海,49.0
天津,南京,24.0
天津,常州,15.0
天津,无锡,0.0
天津,苏州,0.0
天津,徐州,18.0
天津,连云港,0.0
天津,淮安,0.0
天津,盐城,0.0
天津,扬州,0.0
天津,南通,0.0
天津,杭州,24.0
天津,湖州,0.0
天津,嘉兴,0.0
天津,宁波,0.0
天津,台州,0.0
天津,金华,10.0
天津,义乌,4.0
天津,温州,0.0
天津,合肥,22.0
天津,蚌埠,14.0
天津,芜湖,0.0
天津,安庆,0.0
天津,福州,0.0
天津,厦门,0.0
天津,泉州,0.0
天津,南昌,0.0
天津,鹰潭,0.0
天津,赣州,0.0
天津,济南,87.0
天津,潍坊,0.0
天津,烟台,0.0
天津,青岛,0.0
天津,济宁,0.0
天津,临沂,0.0
天津,郑州,47.0
天津,漯河,0.0
天津,信阳,0.0
天津,洛阳,0.0
天津,武汉,45.0
天津,荆州,0.0
天津,襄阳,0.0
天津,长沙,27.0
天津,常德,0.0
天津,衡阳,0.0
天津,广州,55.0
天津,汕头,0.0
天津,深圳,0.0
天津,东莞,0.0
天津,湛江,0.0
天津,中山,0.0
天津,南宁,0.0
天津,柳州,0.0
天津,海口,0.0
天津,重庆,0.0
天津,成都,51.0
天津,南充,0.0
天津,内江,0.0
天津,贵阳,0.0
天津,昆明,0.0
天津,大理州,0.0
天津,拉萨,0.0
天津,西安,59.0
天津,宝鸡,0.0
天津,兰州,0.0
天津,西宁,0.0
天津,银川,0.0
天津,乌鲁木齐,0.0
天津,阿克苏,0.0
天津,喀什,0.0
石家庄,北京,4956.0
石家庄,天津,281.0
石家庄,石家庄,0.0
石家庄,唐山,0.0
石家庄,廊坊,0.0
石家庄,保定,0.0
石家庄,太原,226.0
石家庄,侯马,0.0
石家庄,呼和浩特,0.0
石家庄,包头,0.0
石家庄,沈阳,297.0
石家庄,大连,0.0
石家庄,锦州,0.0
石家庄,长春,206.0
石家庄,哈尔滨,269.0
石家庄,上海,264.0
石家庄,南京,0.0
石家庄,常州,69.0
石家庄,无锡,0.0
石家庄,苏州,0.0
石家庄,徐州,103.0
石家庄,连云港,0.0
石家庄,淮安,0.0
石家庄,盐城,0.0
石家庄,扬州,0.0
石家庄,南通,0.0
石家庄,杭州,129.0
石家庄,湖州,0.0
石家庄,嘉兴,0.0
石家庄,宁波,0.0
石家庄,台州,0.0
石家庄,金华,59.0
石家庄,义乌,20.0
石家庄,温州,0.0
石家庄,合肥,130.0
石家庄,蚌埠,0.0
石家庄,芜湖,0.0
石家庄,安庆,0.0
石家庄,福州,0.0
石家庄,厦门,0.0
石家庄,泉州,0.0
石家庄,南昌,0.0
石家庄,鹰潭,0.0
石家庄,赣州,0.0
石家庄,济南,332.0
石家庄,潍坊,0.0
石家庄,烟台,0.0
石家庄,青岛,0.0
石家庄,济宁,0.0
石家庄,临沂,0.0
石家庄,郑州,266.0
石家庄,漯河,0.0
石家庄,信阳,0.0
石家庄,洛阳,0.0
石家庄,武汉,315.0
石家庄,荆州,0.0
石家庄,襄阳,0.0
石家庄,长沙,201.0
石家庄,常德,0.0
石家庄,衡阳,0.0
石家庄,广州,440.0
石家庄,汕头,0.0
石家庄,深圳,0.0
石家庄,东莞,0.0
石家庄,湛江,0.0
石家庄,中山,0.0
石家庄,南宁,0.0
石家庄,柳州,0.0
石家庄,海口,0.0
石家庄,重庆,0.0
石家庄,成都,347.0
石家庄,南充,0.0
石家庄,内江,0.0
石家庄,贵阳,216.0
石家庄,昆明,0.0
石家庄,大理州,0.0
石家庄,拉萨,0.0
石家庄,西安,402.0
石家庄,宝鸡,0.0
石家庄,兰州,0.0
石家庄,西宁,0.0
石家庄,银川,0.0
石家庄,乌鲁木齐,0.0
石家庄,阿克苏,0.0
石家庄,喀什,0.0
唐山,北京,561.0
唐山,天津,0.0
唐山,石家庄,0.0
唐山,唐山,0.0
唐山,廊坊,0.0
唐山,保定,0.0
唐山,太原,0.0
唐山,侯马,0.0
唐山,呼和浩特,0.0
唐山,包头,0.0
唐山,沈阳,0.0
唐山,大连,0.0
唐山,锦州,0.0
唐山,长春,0.0
唐山,哈尔滨,0.0
唐山,上海,12.0
唐山,南京,0.0
唐山,常州,0.0
唐山,无锡,0.0
唐山,苏州,0.0
唐山,徐州,0.0
唐山,连云港,0.0
唐山,淮安,0.0
唐山,盐城,0.0
唐山,扬州,0.0
唐山,南通,0.0
唐山,杭州,0.0
唐山,湖州,0.0
唐山,嘉兴,0.0
唐山,宁波,0.0
唐山,台州,0.0
唐山,金华,0.0
唐山,义乌,0.0
唐山,温州,0.0
唐山,合肥,0.0
唐山,蚌埠,0.0
唐山,芜湖,0.0
唐山,安庆,0.0
唐山,福州,0.0
唐山,厦门,0.0
唐山,泉州,0.0
唐山,南昌,0.0
唐山,鹰潭,0.0
唐山,赣州,0.0
唐山,济南,0.0
唐山,潍坊,0.0
唐山,烟台,0.0
唐山,青岛,0.0
唐山,济宁,0.0
唐山,临沂,0.0
唐山,郑州,0.0
唐山,漯河,0.0
唐山,信阳,0.0
唐山,洛阳,0.0
唐山,武汉,15.0
唐山,荆州,0.0
唐山,襄阳,0.0
唐山,长沙,0.0
唐山,常德,0.0
唐山,衡阳,0.0
唐山,广州,0.0
唐山,汕头,0.0
唐山,深圳,0.0
唐山,东莞,0.0
唐山,湛江,0.0
唐山,中山,0.0
唐山,南宁,0.0
唐山,柳州,0.0
唐山,海口,0.0
唐山,重庆,0.0
唐山,成都,0.0
唐山,南充,0.0
唐山,内江,0.0
唐山,贵阳,0.0
唐山,昆明,0.0
唐山,大理州,0.0
唐山,拉萨,0.0
唐山,西安,0.0
唐山,宝鸡,0.0
唐山,兰州,0.0
唐山,西宁,0.0
唐山,银川,0.0
唐山,乌鲁木齐,0.0
唐山,阿克苏,0.0
唐山,喀什,0.0
廊坊,北京,1681.0
廊坊,天津,0.0
廊坊,石家庄,0.0
廊坊,唐山,0.0
廊坊,廊坊,0.0
廊坊,保定,0.0
廊坊,太原,0.0
廊坊,侯马,0.0
廊坊,呼和浩特,0.0
廊坊,包头,0.0
廊坊,沈阳,0.0
廊坊,大连,0.0
廊坊,锦州,0.0
廊坊,长春,0.0
廊坊,哈尔滨,0.0
廊坊,上海,37.0
廊坊,南京,0.0
廊坊,常州,0.0
廊坊,无锡,0.0
廊坊,苏州,0.0
廊坊,徐州,0.0
廊坊,连云港,0.0
廊坊,淮安,0.0
廊坊,盐城,0.0
廊坊,扬州,0.0
廊坊,南通,0.0
廊坊,杭州,0.0
廊坊,湖州,0.0
廊坊,嘉兴,0.0
廊坊,宁波,0.0
廊坊,台州,0.0
廊坊,金华,0.0
廊坊,义乌,0.0
廊坊,温州,0.0
廊坊,合肥,0.0
廊坊,蚌埠,0.0
廊坊,芜湖,0.0
廊坊,安庆,0.0
