收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
南京,常州,0,南京-常州,132.0,198,2483,2681,0.07402955601135047,0.0
南京,淮安,1,南京-上海-淮安,707.0,43,466,509,0.07527861074823002,0.0001064761113836351
无锡,连云港,1,无锡-上海-连云港,626.0,39,271,310,0.04059480191573326,6.484792638296048e-05
苏州,徐州,0,苏州-徐州,528.0,158,1142,1300,0.14358586022343248,0.0
连云港,苏州,1,连云港-上海-苏州,586.0,86,593,679,0.08323419619426346,0.00014203787746461342
徐州,盐城,1,徐州-上海-盐城,928.0,64,1039,1103,0.2141203221896007,0.00023073310580775937
常州,南通,0,常州-南通,152.0,83,765,848,0.026963349416316364,0.0
南通,苏州,0,南通-苏州,117.0,134,3043,3177,0.07775663828349631,0.0
南通,盐城,1,南通-上海-盐城,461.0,40,768,808,0.07791959484689091,0.00016902298231429697
杭州,温州,0,杭州-温州,306.0,542,1186,1728,0.11061131721827498,0.0
嘉兴,宁波,1,嘉兴-上海-宁波,340.0,184,521,705,0.050142090174179435,0.00014747673580641011
台州,宁波,0,台州-宁波,176.0,274,950,1224,0.04506386997781573,0.0
武汉,襄阳,0,武汉-襄阳,307.0,95,1718,1813,0.11643152320457534,0.0
汕头,中山,1,汕头-广州-中山,509.0,73,594,667,0.07101956629288461,0.00013952763515301495
石家庄,西安,0,石家庄-西安,801.0,338,4000,4338,0.7268695291099204,0.0
石家庄,太原,0,石家庄-太原,225.0,226,2659,2885,0.13578842004302974,0.0
石家庄,南京,0,石家庄-南京,900.0,106,1260,1366,0.25717432482326325,0.0
石家庄,阿克苏,1,石家庄-北京-阿克苏,3872.0,27,289,316,0.2559510000700776,6.610304753875971e-05
天津,信阳,1,天津-北京-信阳,1094.0,24,731,755,0.17278207017591568,0.00015793607877140375
廊坊,侯马,1,廊坊-北京-侯马,865.0,23,175,198,0.035827433392289165,4.141899814137476e-05
廊坊,南昌,1,廊坊-北京-南昌,1469.0,26,234,260,0.07989682904099331,5.438858341796685e-05
廊坊,厦门,1,廊坊-北京-厦门,2058.0,18,154,172,0.07404712770753166,3.5980139799578073e-05
廊坊,郑州,1,廊坊-北京-郑州,745.0,44,392,436,0.06794807563778459,9.12054706547444e-05
廊坊,南充,1,廊坊-北京-南充,1796.0,13,117,130,0.04884094790933423,2.7194291708983426e-05
保定,合肥,1,保定-北京-合肥,1183.0,46,385,431,0.1066587315118039,9.015953635824505e-05
保定,济南,0,保定-济南,366.0,193,1647,1840,0.14087479852690613,0.0
保定,信阳,1,保定-北京-信阳,1150.0,77,606,683,0.16430581863708485,0.00014287462490181291
保定,常州,1,保定-北京-常州,1262.0,25,174,199,0.05253476947085138,4.1628185000674626e-05
保定,襄阳,1,保定-北京-襄阳,1227.0,18,129,147,0.0377308246250587,3.075046831708126e-05
北京,西安,0,北京-西安,1102.0,78,1728,1806,0.4163261976209178,0.0
沈阳,合肥,0,沈阳-合肥,1597.0,54,387,441,0.1473254937071363,0.0
沈阳,蚌埠,0,沈阳-蚌埠,1465.0,36,245,281,0.08611490843368201,0.0
长春,信阳,1,长春-沈阳-信阳,1948.0,12,200,212,0.08638915240622415,4.434761417157297e-05
长春,贵阳,2,长春-沈阳-成都-贵阳,3530.0,20,381,401,0.2961102749447485,0.00016776786115849774
哈尔滨,长春,0,哈尔滨-长春,296.0,80,2789,2869,0.1776465014020749,0.0
