收寄城市,寄达城市,经转次数,路线,路线类型,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
南京,常州,0,南京-常州,route_1,132.0,198,2483,2681,0.07402955601135047,0.0
南京,淮安,1,南京-上海-淮安,,707.0,43,466,509,0.07527861074823002,0.0001064761113836351
无锡,连云港,1,无锡-上海-连云港,,626.0,39,271,310,0.04059480191573326,6.484792638296048e-05
苏州,徐州,0,苏州-徐州,route_1,528.0,158,1142,1300,0.14358586022343248,0.0
连云港,苏州,1,连云港-上海-苏州,,586.0,86,593,679,0.08323419619426346,0.00014203787746461342
徐州,盐城,1,徐州-上海-盐城,,928.0,64,1039,1103,0.2141203221896007,0.00023073310580775937
常州,南通,1,常州-上海-南通,,316.0,83,765,848,0.05605538431286823,0.00017739045668629187
南通,苏州,0,南通-苏州,route_1,117.0,134,3043,3177,0.07775663828349631,0.0
南通,盐城,1,南通-上海-盐城,,461.0,40,768,808,0.07791959484689091,0.00016902298231429697
杭州,温州,0,杭州-温州,route_1,306.0,542,1186,1728,0.11061131721827498,0.0
嘉兴,宁波,1,嘉兴-上海-宁波,,340.0,184,521,705,0.050142090174179435,0.00014747673580641011
台州,宁波,1,台州-上海-宁波,,607.0,274,950,1224,0.15541914248030766,0.0002560447157830439
武汉,襄阳,0,武汉-襄阳,route_0,307.0,95,1718,1813,0.11643152320457534,0.0
汕头,中山,1,汕头-广州-中山,,509.0,73,594,667,0.07101956629288461,0.00013952763515301495
石家庄,西安,1,石家庄-北京-西安,,1418.0,338,4000,4338,1.286767780621557,0.0009074525956428469
石家庄,太原,0,石家庄-太原,route_1,225.0,226,2659,2885,0.13578842004302974,0.0
石家庄,南京,2,石家庄-北京-上海-南京,,1829.0,106,1260,1366,0.5226353778908317,0.0005714984996072517
石家庄,阿克苏,2,石家庄-北京-西安-阿克苏,,4736.0,27,289,316,0.313064033143566,0.00013220609507751943
天津,信阳,2,天津-北京-武汉-信阳,,1478.0,24,731,755,0.23342952442413473,0.0003158721575428075
廊坊,侯马,2,廊坊-北京-西安-侯马,,1467.0,23,175,198,0.06076167027339677,8.283799628274952e-05
廊坊,南昌,2,廊坊-北京-武汉-南昌,,1551.0,26,234,260,0.08435669288126658,0.0001087771668359337
廊坊,厦门,2,廊坊-北京-广州-厦门,,2819.0,18,154,172,0.10142801409501058,7.196027959915615e-05
廊坊,郑州,2,廊坊-北京-西安-郑州,,1623.0,44,392,436,0.1480264788726502,0.0001824109413094888
廊坊,南充,2,廊坊-北京-成都-南充,,2194.0,13,117,130,0.05966427600950963,5.438858341796685e-05
保定,合肥,2,保定-北京-武汉-合肥,,1699.0,46,385,431,0.15318105227265832,0.0001803190727164901
保定,济南,1,保定-北京-济南,,578.0,193,1647,1840,0.2224744086026004,0.0003849038211117654
保定,信阳,2,保定-北京-武汉-信阳,,1534.0,77,606,683,0.21916967459938103,0.00028574924980362583
保定,常州,2,保定-北京-上海-常州,,1559.0,25,174,199,0.06489834041605175,8.325637000134925e-05
保定,襄阳,2,保定-北京-武汉-襄阳,,1628.0,18,129,147,0.05006176242020829,6.150093663416251e-05
北京,西安,0,北京-西安,route_0,1102.0,78,1728,1806,0.4163261976209178,0.0
沈阳,合肥,1,沈阳-武汉-合肥,,2187.0,54,387,441,0.20175382262837013,9.225140495124377e-05
沈阳,蚌埠,1,沈阳-武汉-蚌埠,,2282.0,36,245,281,0.13413940003116884,5.878150746326417e-05
长春,信阳,2,长春-沈阳-武汉-信阳,,2332.0,12,200,212,0.10341863624810817,8.869522834314594e-05
长春,贵阳,2,长春-沈阳-成都-贵阳,,3530.0,20,381,401,0.2961102749447485,0.00016776786115849774
哈尔滨,长春,0,哈尔滨-长春,route_1,296.0,80,2789,2869,0.1776465014020749,0.0
南京,哈尔滨,2,南京-上海-沈阳-哈尔滨,,2627.0,152,1812,1964,1.0792845391038226,0.0008216859833298992
南京,锦州,2,南京-上海-沈阳-锦州,,2279.0,38,422,460,0.21929895207842834,0.0001924519105558827
南京,洛阳,2,南京-上海-西安-洛阳,,2053.0,63,692,755,0.3242427697176919,0.0003158721575428075
南京,汕头,2,南京-上海-广州-汕头,,2160.0,75,838,913,0.41253322148809257,0.0003819752050815672
扬州,郑州,2,扬州-上海-西安-郑州,,2143.0,80,858,938,0.4204936182318899,0.0003924345480465608
扬州,漯河,2,扬州-上海-武汉-漯河,,1490.0,34,342,376,0.11719484605416057,0.00015730851819350413
常州,厦门,2,常州-上海-广州-厦门,,2267.0,112,1112,1224,0.5804533706801606,0.0005120894315660878
无锡,福州,1,无锡-上海-福州,,919.0,75,551,626,0.12034394503406085,0.0001309509739217202
无锡,银川,2,无锡-上海-西安-银川,,2230.0,34,245,279,0.13014978825060167,0.00011672626748932886
无锡,石家庄,2,无锡-上海-北京-石家庄,,1658.0,87,671,758,0.26289851404114495,0.00031712727869860673
无锡,金华,1,无锡-上海-金华,,473.0,49,372,421,0.04165600685296151,8.806766776524632e-05
无锡,长沙,2,无锡-上海-武汉-长沙,,1323.0,91,685,776,0.2147612707264955,0.00032465800563340213
无锡,汕头,2,无锡-上海-广州-汕头,,2003.0,36,268,304,0.12737638887000396,0.0001271856104543225
无锡,南宁,2,无锡-上海-广州-南宁,,2141.0,53,408,461,0.20646763931583345,0.00019287028427448244
无锡,海口,2,无锡-上海-广州-海口,,2168.0,35,265,300,0.13605513328863708,0.0001255121155799235
无锡,成都,1,无锡-上海-成都,,2113.0,140,1052,1192,0.5268781057711517,0.00024935073628544805
苏州,广州,1,苏州-上海-广州,,1537.0,292,2333,2625,0.8439905322027481,0.0005491155056621653
苏州,济南,2,苏州-上海-北京-济南,,1710.0,197,1546,1743,0.623487709749049,0.0007292253915193556
苏州,青岛,2,苏州-上海-北京-青岛,,1971.0,100,814,914,0.3768488719075645,0.00038239357880016694
徐州,北京,1,徐州-上海-北京,,1810.0,244,4978,5222,1.977196540467721,0.0010923737792639342
徐州,湛江,2,徐州-上海-广州-湛江,,2463.0,68,1134,1202,0.6193031358156144,0.0005028852097568935
